DfE,Establishment Name,Formerly Known As,Phase of Education,Type of Establishment,Selective,Faith,Gender,Capacity,StatutoryLowAge,StatutoryHighAge,Headteacher,HeadPreferredJobTitle,Street,Locality,Address3,Town,County,Postcode,Ward,District,Telephone Number,Email,Website,LastUpdated,latitude,longitude,SCHOOL NAME,PAN,Cut off Distances 2017,Cut off Distance 2016,Cut off Distance 2015,Cut off Distance 2014,Cut off Distance 2013
4804,Archbishop Ilsley Catholic School,,Primary,Voluntary Aided School,,Catholic,Mixed,1192,11,18,Mr G Alexander,Headteacher,Victoria Road,Acocks Green,,Birmingham,West Midlands,B27 7XY,Acocks Green,Yardley,0121 7064200,enquiry@ilsley.bham.sch.uk,http://www.ilsley.bham.sch.uk/,8/8/16,52.4431856,-1.8210571,Archbishop Ilsley Catholic School,210.0,3790,4019,3988,3882,4773
4013,Ark Boulton Academy,Golden Hillock School - A Park View Academy,Primary,Academy Sponsor Led,,,Mixed,900,11,16,Ms Herminder Channa,Principal,Golden Hillock Road,Sparkhill,,Birmingham,West Midlands,B11 2QG,South Yardley,Yardley,0121 7738156,info@arkboulton.org,http://arkboulton.org/,8/8/16,52.4561784,-1.8623914000000001,Ark Boulton Academy,180.0,3347,2518,2007,3321,2208
4001,Ark Kings Academy,Kings Norton High,Primary,Academy Sponsor Led,,,Mixed,800,11,16,Mr Roger Punton,Principal,Shannon Road,Kings Norton,,Birmingham,West Midlands,B38 9DE,Kings Norton,Northfield,0121 4594451,info@arkkingsacademy.org,http://www.arkkingsacademy.org/,11/22/16,52.400884399999995,-1.9286686000000002,Ark Kings Academy,120.0,2866,1337,4001,4023,1332
6908,Ark St Alban's Academy,St Alban's Academy,Primary,Academy Sponsor Led,,CofE,Mixed,800,11,18,Mr Mark Gregory,Principal,Conybere Street,Highgate,,Birmingham,West Midlands,B12 0YH,Nechells,Ladywood,0121 4461300,info@stalbansacademy.org,http://arkstalbans.org/,9/27/16,52.465868799999996,-1.8892916000000002,Ark St Alban's Academy,120.0,3529,915,2216,1195,4094
4220,Aston Manor Academy,,Primary,Academy Converter,,,Mixed,950,11,18,Ms Heather Roberts,Headteacher,Phillips Street,Aston,,Birmingham,West Midlands,B6 4PZ,Aston,Ladywood,0121 3598108,enquiry@astonmanoracademy.com,http://www.astonmanor.bham.sch.uk/,9/27/16,52.4964802,-1.8915330000000001,Aston Manor Academy,150.0,1318,966,1362,3077,3814
4003,Aston University Engineering Academy,,Primary,Academy Sponsor Led,,,Mixed,600,14,19,Mr D Locke-Wheaton,Principal,1 Lister Street,,,Birmingham,West Midlands,B7 4AG,Nechells,Ladywood,0121 3800570,enquiries@auea.co.uk,http://www.auea.co.uk/,11/9/15,52.4888316,-1.8858549999999998,,,614,2261,2264,4698,3561
4333,Balaam Wood School,Frankley Community High School,Primary,Community School,,,Mixed,546,11,16,Mr Damian McGarvey,Acting Headteacher,New Street,Frankley,,Birmingham,West Midlands,B45 0EU,Longbridge,Northfield,0121 4649901,enquiry@bwschool.org.uk,http://www.bwschool.org.uk/,9/1/16,52.4052967,-2.0169262999999997,Balaam Wood School,97.0,4916,890,2234,1899,813
4108,Bartley Green School,Bartley Green School A Specialist Technology and Sports College,Primary,Academy Converter,,,Mixed,900,11,16,Mrs Jane Chan,Headteacher,Adams Hill,,,Birmingham,West Midlands,B32 3QJ,Bartley Green,Edgbaston,0121 4769246,enquiry@bartleygreen.org.uk,http://www.bartleygreen.org.uk/,9/27/16,52.435228099999996,-1.9973198,Bartley Green School,185.0,2440,2610,1984,2264,4425
5413,Bishop Challoner Catholic College,,Primary,Voluntary Aided School,,Catholic,Mixed,1150,11,18,Mr Kevin McEvoy,Principal,Institute Road,Kings Heath,,Birmingham,West Midlands,B14 7EG,Moseley and Kings Heath,Hall Green,0121 4444161,enquiry@bishopchalloner.bham.sch.uk,http://www.bishopchalloner.org.uk/,10/12/16,52.433474,-1.8891598000000003,Bishop Challoner Catholic College,180.0,3824,4495,2452,687,1225
4660,Bishop Vesey's Grammar School,,Primary,Academy Converter,Yes,,Boys,1020,11,18,Mr Dominic Robson,Headteacher,Lichfield Road,,,Sutton Coldfield,West Midlands,B74 2NH,Sutton Trinity,Sutton Coldfield,0121 2505400,enquiry@bishopveseys.bham.sch.uk,http://www.bvgs.co.uk/,7/16/15,52.5714475,-1.8233322,Bishop Vesey's Grammar School,160.0,4997,2994,3946,4351,1312
4661,Bishop Walsh Catholic School,,Primary,Academy Converter,,Catholic,Mixed,1067,11,18,Mr J B Farrell,Headteacher,Wylde Green Road,,,Sutton Coldfield,West Midlands,B76 1QT,Sutton New Hall,Sutton Coldfield,0121 3513215,enquiry@bishopwalsh.net,http://bishopwalsh.net/welcome/,5/13/16,52.5467024,-1.8072881,Bishop Walsh Catholic School,150.0,1608,4448,1017,2336,3017
4115,Bordesley Green Girls' School & Sixth Form,,Primary,Community School,,,Girls,783,11,18,Mrs Judith Woodfield,Headteacher,Bordesley Green Road,,,Birmingham,West Midlands,B9 4TR,Nechells,Ladywood,0121 4641881,enquiry@bordgrng.bham.sch.uk,http://www.bordgrng.bham.sch.uk/,1/26/16,52.477750199999996,-1.8566165000000001,Bordesley Green Girls' School & Sixth Form,120.0,3573,4033,1844,1193,3561
4227,Broadway Academy,Broadway School,Primary,Academy Converter,,,Mixed,1300,11,18,Mr Ron Skelton,Headteacher,The Broadway,Perry Barr,,Birmingham,West Midlands,B20 3DP,Aston,Ladywood,0121 5664334,enquiry@broadway-academy.co.uk,http://www.broadway-academy.co.uk/,2/28/17,52.5124927,-1.8951135,Broadway Academy,210.0,4797,2835,4010,3494,3729
